date,rainfall_mm,soil_moisture_percent,humidity_percent,river_level_m,temperature_c,flood_risk
2024-07-07,47.13,17.9,79.46,6.81,27.25,0
2025-05-01,71.68,36.16,65.87,8.28,24.55,1
2023-09-20,76.49,22.63,91.3,3.85,25.17,1
2026-04-12,13.15,48.34,70.94,1.43,25.31,0
2026-03-20,61.55,27.18,76.3,8.69,34.89,1
2023-05-20,91.69,15.95,74.14,9.04,26.54,1
2023-05-19,30.51,20.19,73.11,3.97,25.63,0
2022-03-14,12.02,27.45,82.45,3.18,24.34,0
2024-01-14,67.47,20.58,93.95,7.57,30.15,1
2024-01-31,32.07,39.64,86.29,7.26,24.35,0
2021-04-14,63.43,60.0,96.25,3.86,30.14,1
2021-12-13,26.5,28.98,82.09,7.9,19.59,0
2026-08-27,45.25,56.67,85.45,3.24,29.1,1
2025-02-10,64.94,38.09,95.46,3.92,29.22,1
2026-08-13,28.57,12.06,89.34,8.61,25.21,1
2021-08-06,14.39,55.39,40.0,8.02,35.98,1
2021-08-11,34.44,46.73,76.63,5.58,35.52,0
2024-09-07,27.88,33.6,60.18,4.82,17.96,0
2026-09-17,35.51,10.48,85.44,9.18,30.9,1
2023-01-18,21.97,24.4,67.66,3.24,32.9,0
2022-12-02,8.27,41.25,75.42,4.84,33.97,0
2023-12-25,8.81,49.91,94.13,3.36,34.98,1
2023-10-12,86.84,46.71,68.73,4.65,36.1,1
2024-05-09,19.5,35.52,81.94,6.58,18.29,0
2026-08-27,45.25,56.67,85.45,3.24,29.1,1
2026-06-17,2.73,48.06,92.46,3.35,25.02,1
2021-05-30,32.84,21.87,88.49,4.91,25.85,0
2026-07-05,14.68,32.88,93.05,9.45,31.17,1
2023-03-15,11.28,22.55,95.77,8.52,30.81,1
2024-06-03,80.6,36.83,76.85,8.3,19.46,1
2025-05-29,59.98,16.3,55.58,7.72,30.55,0
2022-01-12,14.96,42.91,83.91,3.57,34.12,0
2023-12-02,117.84,50.54,90.9,6.62,24.79,1
2021-10-23,19.22,47.31,73.04,8.62,27.05,1
2023-05-02,17.57,33.67,61.5,4.21,23.57,0
2022-04-17,18.03,15.03,64.82,5.65,29.01,0
2023-11-20,91.17,41.66,97.1,7.41,21.16,1
2025-03-18,27.83,5.0,76.77,5.25,18.35,0
2024-01-22,7.92,29.41,75.03,4.57,26.61,0
2020-10-31,14.24,35.88,98.69,3.37,30.18,0
2025-06-11,101.4,46.92,57.99,5.41,30.08,1
2021-09-14,50.73,52.76,86.04,5.08,33.53,1
2022-04-13,39.77,31.14,76.48,3.33,24.49,0
2022-03-05,13.02,40.84,70.06,6.33,28.64,0
2022-03-28,14.39,46.75,89.65,2.94,27.82,1
2025-02-24,99.83,31.82,81.84,9.06,32.12,1
2023-11-16,34.36,14.56,61.88,3.99,28.84,0
2025-10-03,21.95,14.32,87.21,7.43,30.92,0
2020-01-24,29.01,38.39,78.99,4.72,32.83,0
2026-01-11,83.81,46.81,74.47,3.62,28.66,1
2020-07-04,25.41,33.57,70.93,3.85,33.52,0
2020-06-12,35.06,32.43,75.33,4.1,32.49,0
2022-04-29,24.93,7.51,78.27,6.08,31.46,0
2024-03-12,8.88,30.49,70.99,1.82,28.03,0
2021-05-24,44.49,23.13,53.8,4.26,28.51,0
2020-11-05,4.65,22.41,57.62,6.43,30.74,0
2020-09-10,71.66,32.92,88.68,7.58,23.85,1
2026-05-22,3.81,48.46,89.14,2.05,28.99,1
2021-12-18,19.36,29.87,66.9,3.35,27.44,0
2020-09-16,32.79,23.49,85.47,8.01,20.09,1
2021-07-09,17.32,19.31,88.64,7.48,35.63,0
2023-07-16,15.67,30.34,54.9,2.33,23.89,0
2026-08-29,46.09,41.17,78.81,4.96,21.17,0
2020-08-23,25.1,33.84,88.59,5.15,24.61,0
2020-04-06,81.33,33.56,88.42,3.17,30.46,1
2024-08-25,5.65,15.74,100.0,9.54,30.67,1
2025-07-15,25.14,29.84,79.22,7.01,28.8,0
2023-08-12,68.01,20.06,78.16,7.95,23.39,0
2023-01-24,40.06,45.68,91.65,5.47,31.5,1
2024-10-18,23.18,31.13,67.65,8.73,38.96,0
2024-03-02,68.79,43.77,61.71,8.26,30.23,1
2023-02-01,61.69,21.94,71.14,8.14,30.38,1
2022-11-19,15.19,40.23,86.38,9.91,25.76,1
2020-09-10,71.66,32.92,88.68,7.58,23.85,1
2023-05-06,28.86,20.24,81.77,4.26,19.43,0
2023-10-26,136.63,36.44,69.02,10.12,21.46,1
2023-11-03,32.81,20.33,67.34,3.84,23.89,0
2020-01-27,22.83,29.21,76.43,3.6,26.59,0
2020-11-06,14.38,43.51,75.18,2.29,30.09,0
2025-12-05,37.19,34.66,78.47,3.81,32.66,0
2025-03-14,99.88,45.01,72.0,4.82,15.01,1
2026-06-21,54.84,60.0,90.14,9.16,32.64,1
2026-05-24,55.47,32.57,76.39,8.38,19.42,0
2024-02-05,20.57,26.82,57.55,4.66,23.86,0
2023-10-17,3.21,34.06,77.61,5.16,32.89,0
2022-02-23,14.04,21.95,76.55,3.15,28.5,0
2021-09-14,50.73,52.76,86.04,5.08,33.53,1
2021-10-19,7.13,10.45,84.02,9.97,35.76,0
2021-03-12,54.51,23.44,96.11,8.27,27.93,1
2026-09-17,35.51,10.48,85.44,9.18,30.9,1
2025-05-01,71.68,36.16,65.87,8.28,24.55,1
2023-01-17,51.98,37.86,68.7,5.59,26.87,0
2022-06-01,36.38,24.73,78.35,4.73,27.92,0
2022-02-18,94.37,21.48,92.23,6.66,24.04,1
2025-11-02,18.57,38.33,69.59,2.61,32.83,0
2026-05-06,37.77,34.37,73.38,4.54,25.83,0
2020-07-08,91.35,41.84,90.55,3.7,25.35,1
2021-11-21,93.8,24.86,72.0,8.25,35.35,1
2022-05-18,77.42,32.4,88.3,4.61,25.85,1
2026-09-17,35.51,10.48,85.44,9.18,30.9,1
2020-09-17,10.86,9.1,83.63,1.09,26.07,0
2026-05-28,61.51,21.94,88.36,0.78,24.77,1
2025-05-15,24.31,43.21,70.55,6.9,20.75,0
2024-12-30,73.54,37.34,54.98,8.21,22.78,1
2020-04-11,33.88,34.25,88.1,8.76,24.53,1
2020-03-13,54.3,27.84,72.8,0.69,18.47,0
2020-02-10,44.27,44.52,91.06,9.2,29.37,1
2020-07-25,45.56,32.91,68.72,7.63,26.08,0
2021-10-23,19.22,47.31,73.04,8.62,27.05,1
2021-01-11,115.28,36.45,67.28,8.25,13.75,1
2024-12-27,63.76,57.8,93.69,2.59,21.85,1
2022-06-06,35.16,36.45,75.02,4.31,28.89,0
2021-09-09,17.59,31.23,69.47,6.59,35.62,0
2026-08-13,28.57,12.06,89.34,8.61,25.21,1
2024-12-26,19.83,22.79,81.69,4.9,33.19,0
2024-07-27,23.23,25.23,61.0,8.02,31.98,0
2022-02-18,94.37,21.48,92.23,6.66,24.04,1
2023-09-20,76.49,22.63,91.3,3.85,25.17,1
2025-08-18,4.8,45.94,88.76,5.21,24.94,1
2022-05-18,77.42,32.4,88.3,4.61,25.85,1
2021-04-27,35.8,45.98,92.45,6.56,23.2,1
2023-10-12,86.84,46.71,68.73,4.65,36.1,1
2022-02-09,22.05,36.96,76.44,6.61,16.17,0
2020-02-19,32.57,48.21,95.6,6.16,29.38,1
2022-09-03,74.91,25.16,87.78,5.54,25.39,1
2025-02-14,94.73,15.66,81.23,5.47,20.29,0
2021-12-14,28.43,21.58,73.59,3.28,34.81,0
2021-10-26,62.53,35.56,89.93,7.41,24.67,1
2021-04-27,35.8,45.98,92.45,6.56,23.2,1
2025-03-24,89.55,27.19,97.41,8.34,21.84,1
2026-08-23,48.06,20.02,82.78,3.3,23.46,0
2025-12-17,12.83,18.37,57.95,5.76,26.27,0
2023-10-26,136.63,36.44,69.02,10.12,21.46,1
2020-07-02,44.29,35.93,71.22,6.24,26.86,0
2026-05-25,81.46,29.88,86.11,5.28,19.61,1
2025-01-13,53.05,6.99,66.53,8.5,28.13,0
2020-03-24,19.27,9.8,76.63,5.66,31.34,0
2022-07-22,60.16,36.6,91.37,3.22,31.72,1
2026-08-05,25.63,44.47,76.14,6.1,28.59,0
2025-04-16,21.62,26.19,79.6,5.61,24.12,0
2021-12-30,111.02,22.61,98.18,5.7,21.1,1
2024-02-15,69.14,15.73,87.66,3.63,28.47,1
2021-08-06,14.39,55.39,40.0,8.02,35.98,1
2025-03-14,99.88,45.01,72.0,4.82,15.01,1
2020-09-24,85.61,17.36,70.81,8.2,32.21,1
2022-11-27,70.49,45.4,69.79,4.67,35.95,1
2026-03-28,22.43,20.9,83.3,1.6,21.64,0
2022-11-19,15.19,40.23,86.38,9.91,25.76,1
2021-10-26,62.53,35.56,89.93,7.41,24.67,1
2025-03-28,82.68,28.72,93.42,4.23,21.44,1
2021-07-13,43.51,35.05,83.18,2.11,28.26,0
2020-01-13,65.48,19.6,82.66,5.97,28.0,0
2025-11-24,62.86,37.15,72.84,9.16,25.5,1
2022-04-22,15.76,17.58,90.27,2.77,28.59,0
2021-11-27,6.75,59.36,91.37,6.68,31.27,1
2021-07-23,10.19,18.78,64.47,4.81,31.51,0
2026-10-28,21.71,50.49,85.3,3.24,29.98,1
2023-05-08,34.19,17.67,64.44,6.88,27.63,0
2026-10-08,30.95,37.85,72.32,6.97,33.09,0
2022-11-27,70.49,45.4,69.79,4.67,35.95,1
2023-12-11,23.79,33.38,62.91,5.7,30.6,0
2021-11-22,39.39,18.01,62.64,5.83,22.31,0
2025-06-21,25.66,26.61,70.63,5.09,25.64,0
2023-09-20,76.49,22.63,91.3,3.85,25.17,1
2022-07-18,28.96,27.22,96.59,9.84,31.22,1
2020-05-30,47.32,38.61,70.85,5.51,19.21,0
2023-10-25,14.92,31.61,84.44,1.58,28.92,0
2024-04-17,45.2,18.57,70.64,2.29,27.71,0
2024-01-17,28.48,38.37,71.94,4.15,34.04,0
2021-06-13,15.66,30.19,74.85,0.95,27.57,0
2024-04-15,33.43,30.72,74.04,3.47,27.36,0
2020-01-09,29.98,32.17,59.29,3.0,25.94,0
2025-03-14,99.88,45.01,72.0,4.82,15.01,1
2023-03-07,8.03,28.32,84.47,3.15,27.73,0
2024-12-13,29.76,36.91,69.54,5.05,31.76,0
2020-11-24,2.66,38.71,78.06,2.34,25.45,0
2026-05-28,61.51,21.94,88.36,0.78,24.77,1
2022-03-13,18.58,24.61,73.06,2.82,32.23,0
2025-06-01,12.3,42.69,72.97,6.44,27.27,0
2021-11-27,6.75,59.36,91.37,6.68,31.27,1
2025-04-13,21.09,39.96,71.43,6.08,31.6,0
2021-12-28,36.18,18.66,76.26,2.02,25.1,0
2021-05-03,15.5,8.95,92.83,2.16,30.04,0
2024-03-03,45.45,40.2,67.58,1.56,27.71,0
2022-07-13,25.47,47.05,72.3,6.34,37.95,0
2020-02-19,32.57,48.21,95.6,6.16,29.38,1
2025-02-05,6.87,10.58,71.98,1.38,31.36,0
2021-02-07,51.31,8.09,60.77,3.33,34.41,0
2020-04-16,25.25,23.21,71.1,4.37,25.45,0
2025-05-01,71.68,36.16,65.87,8.28,24.55,1
2026-07-05,14.68,32.88,93.05,9.45,31.17,1
2023-12-02,117.84,50.54,90.9,6.62,24.79,1
2023-01-24,40.06,45.68,91.65,5.47,31.5,1
2021-04-07,64.79,9.01,72.36,8.16,29.88,1
2021-11-27,6.75,59.36,91.37,6.68,31.27,1
2021-07-06,78.61,20.06,86.89,9.27,27.78,1
2024-03-02,68.79,43.77,61.71,8.26,30.23,1
2022-05-18,77.42,32.4,88.3,4.61,25.85,1
2026-08-27,45.25,56.67,85.45,3.24,29.1,1
2024-04-08,10.16,14.52,53.59,4.12,29.88,0
2020-03-15,63.19,46.35,76.03,5.64,25.67,1
2024-08-27,29.62,38.29,79.13,4.07,28.67,0
2021-05-08,14.91,22.65,59.14,5.51,25.0,0
2022-09-17,60.09,17.6,96.21,2.08,24.79,1
2021-01-24,58.59,26.24,65.88,4.09,27.4,0
2026-05-28,61.51,21.94,88.36,0.78,24.77,1
2026-01-08,72.13,27.77,68.73,8.15,25.03,1
2023-03-15,11.28,22.55,95.77,8.52,30.81,1
2026-06-11,42.78,29.56,64.33,4.19,25.59,0
2022-07-11,10.69,25.58,60.84,5.13,31.0,0
2020-12-02,39.36,29.24,85.38,5.02,30.77,0
2024-09-23,72.71,7.95,87.69,6.7,21.98,1
2022-02-18,94.37,21.48,92.23,6.66,24.04,1
2022-07-22,60.16,36.6,91.37,3.22,31.72,1
2021-04-14,63.43,60.0,96.25,3.86,30.14,1
2021-03-12,54.51,23.44,96.11,8.27,27.93,1
2026-10-28,21.71,50.49,85.3,3.24,29.98,1
2021-11-27,6.75,59.36,91.37,6.68,31.27,1
2021-08-25,62.38,34.36,85.73,5.9,36.09,1
2025-05-28,19.67,34.39,79.99,5.58,38.69,0
2023-02-01,61.69,21.94,71.14,8.14,30.38,1
2021-12-05,12.86,19.44,70.96,2.47,20.39,0
2026-01-10,2.47,47.84,75.2,5.11,31.0,0
2022-10-08,13.64,39.52,97.54,8.01,34.35,1
2024-04-10,12.09,29.6,72.91,7.45,28.72,0
2021-11-27,6.75,59.36,91.37,6.68,31.27,1
2025-08-03,45.03,42.89,82.25,3.55,22.29,0
2024-03-06,29.97,33.41,84.43,6.25,19.72,0
2023-09-20,76.49,22.63,91.3,3.85,25.17,1
2023-06-10,24.77,28.62,64.96,7.66,25.39,0
2023-07-20,24.89,24.03,75.66,2.27,30.2,0
2024-12-24,66.88,42.73,76.21,8.03,33.65,1
2020-05-21,2.72,30.36,75.39,4.59,28.33,0
2026-03-20,61.55,27.18,76.3,8.69,34.89,1
2023-06-03,86.13,26.44,82.81,5.11,24.64,0
2024-08-25,5.65,15.74,100.0,9.54,30.67,1
2022-03-28,14.39,46.75,89.65,2.94,27.82,1
2024-10-17,4.11,30.57,73.29,2.12,28.77,0
2025-03-28,82.68,28.72,93.42,4.23,21.44,1
2020-01-30,51.57,33.6,74.73,6.5,34.69,0
2024-04-13,79.93,28.37,94.36,5.47,18.15,1
2022-11-20,12.37,46.44,69.71,3.27,25.15,0
2022-07-15,9.55,39.76,88.52,2.21,32.89,0
2024-04-05,18.66,29.05,72.34,7.02,31.13,0
2022-06-24,71.51,26.55,88.6,5.33,26.17,1
2025-06-11,101.4,46.92,57.99,5.41,30.08,1
2023-02-06,35.41,29.45,73.58,7.52,26.71,0
2022-09-03,74.91,25.16,87.78,5.54,25.39,1
2026-01-29,16.26,24.94,88.3,4.92,30.03,0
2022-09-03,74.91,25.16,87.78,5.54,25.39,1
2020-02-15,69.19,24.16,86.8,0.0,18.75,1
2024-12-06,27.98,31.11,62.55,3.64,20.71,0
2024-07-04,15.5,33.37,71.58,5.63,26.54,0
2022-09-04,23.03,38.42,80.7,5.99,22.99,0
2021-05-18,112.8,42.54,81.17,8.15,22.39,1
2022-08-28,80.16,8.06,91.53,8.1,33.71,1
2024-12-27,63.76,57.8,93.69,2.59,21.85,1
2022-04-24,68.33,19.04,100.0,6.03,27.45,1
2021-11-06,20.9,37.71,84.95,4.53,23.63,0
2023-03-22,20.83,26.57,71.02,5.59,31.21,0
2020-09-21,12.57,28.85,68.74,4.61,33.32,0
2021-10-04,71.85,33.1,82.5,8.98,25.64,1
2025-11-24,62.86,37.15,72.84,9.16,25.5,1
2023-08-14,4.37,24.35,87.84,2.83,25.01,0
2026-09-26,80.64,29.78,70.2,10.7,21.11,1
2020-03-05,30.33,35.46,60.39,7.11,27.21,0
2020-09-06,51.61,42.02,74.33,5.36,28.05,0
2021-10-26,62.53,35.56,89.93,7.41,24.67,1
2021-09-19,23.47,29.89,71.67,6.58,35.49,0
2026-08-27,45.25,56.67,85.45,3.24,29.1,1
2024-09-27,60.2,26.69,89.62,3.08,25.99,1
2021-03-07,51.46,35.03,61.52,5.88,26.47,0
2026-06-29,56.4,15.25,81.4,7.2,27.82,0
2026-08-24,35.67,12.46,67.68,3.73,16.13,0
2023-09-20,76.49,22.63,91.3,3.85,25.17,1
2024-04-13,79.93,28.37,94.36,5.47,18.15,1
2025-07-04,42.36,19.77,74.93,7.59,29.62,0
2020-03-14,42.57,39.37,73.73,7.39,22.34,0
2025-04-10,67.88,14.93,72.18,10.24,23.43,1
2023-01-24,40.06,45.68,91.65,5.47,31.5,1
2024-05-06,16.06,19.69,65.22,5.3,28.28,0
2021-03-06,10.46,29.48,68.83,5.51,18.77,0
2026-02-18,65.35,46.51,92.87,5.32,28.26,1
2023-10-09,41.74,26.12,51.35,1.42,27.48,0
2024-03-09,69.51,40.26,96.48,4.04,22.74,1
2020-02-20,12.38,24.34,80.59,2.08,36.07,0
2023-03-15,11.28,22.55,95.77,8.52,30.81,1
2026-05-25,81.46,29.88,86.11,5.28,19.61,1
2024-05-16,1.88,22.22,77.11,5.84,34.89,0
2026-02-06,8.68,33.46,66.64,4.36,31.99,0
2025-07-06,32.87,5.0,77.96,6.88,24.24,0
2021-12-20,27.85,14.41,77.93,5.82,23.32,0
2022-11-19,15.19,40.23,86.38,9.91,25.76,1
2026-05-28,61.51,21.94,88.36,0.78,24.77,1
2023-03-20,25.8,30.58,69.6,3.67,24.3,0
2023-09-11,55.18,33.81,65.72,7.07,24.19,0
2022-02-07,37.98,30.8,61.6,0.05,22.24,0
2025-08-23,12.15,32.69,69.22,2.31,24.89,0
2026-02-08,36.41,50.64,100.0,5.56,32.18,1
2020-06-06,9.95,36.65,81.87,6.18,37.36,0
2023-11-05,34.05,31.03,68.63,2.35,28.89,0
2023-05-20,91.69,15.95,74.14,9.04,26.54,1
2023-02-01,61.69,21.94,71.14,8.14,30.38,1
2023-06-24,40.6,35.1,73.13,4.9,21.58,0
2026-09-25,55.8,50.91,86.95,6.89,34.24,1
2025-05-11,64.94,54.98,91.67,5.25,23.1,1
2022-02-28,9.71,27.79,66.04,0.86,30.49,0
2021-07-06,78.61,20.06,86.89,9.27,27.78,1
2025-03-28,82.68,28.72,93.42,4.23,21.44,1
2021-01-11,115.28,36.45,67.28,8.25,13.75,1
2023-08-07,18.51,15.06,100.0,2.71,24.74,0
2020-03-15,63.19,46.35,76.03,5.64,25.67,1
2026-09-17,35.51,10.48,85.44,9.18,30.9,1
2022-07-18,28.96,27.22,96.59,9.84,31.22,1
2026-02-28,18.61,38.24,70.37,3.68,31.22,0
2024-02-18,32.82,13.05,91.98,5.52,31.06,0
2025-01-03,52.95,14.55,76.33,6.32,24.61,0
2020-09-16,32.79,23.49,85.47,8.01,20.09,1
2023-05-20,91.69,15.95,74.14,9.04,26.54,1
2026-02-08,36.41,50.64,100.0,5.56,32.18,1
2024-02-28,11.54,45.33,86.79,3.05,32.9,1
2023-02-22,33.35,31.8,91.0,6.87,26.16,0
2020-04-08,10.48,23.33,75.23,4.58,27.06,0
2025-04-23,11.57,25.17,77.97,4.46,31.39,0
2023-10-18,16.61,27.65,69.22,2.73,26.95,0
2024-06-03,80.6,36.83,76.85,8.3,19.46,1
2023-01-24,40.06,45.68,91.65,5.47,31.5,1
2026-10-06,42.7,29.95,75.66,4.65,29.85,0
2022-09-28,23.42,28.9,75.83,4.53,29.07,0
2021-03-12,54.51,23.44,96.11,8.27,27.93,1
2022-04-25,87.44,29.32,65.98,4.62,26.18,0
2021-01-22,12.76,32.11,57.37,4.84,26.91,0
2025-03-27,74.31,11.0,89.15,5.45,29.2,1
2020-11-27,73.54,28.58,94.44,9.58,26.91,1
2020-09-13,23.94,57.55,87.5,1.38,26.7,1
2021-12-07,5.35,33.08,76.18,1.13,25.84,0
2024-12-27,63.76,57.8,93.69,2.59,21.85,1
2020-09-04,39.7,37.83,67.96,7.97,32.14,0
2026-07-05,14.68,32.88,93.05,9.45,31.17,1
2021-05-09,18.22,28.14,76.76,7.09,22.79,0
2020-02-10,44.27,44.52,91.06,9.2,29.37,1
2026-04-28,16.83,12.3,72.88,5.02,24.97,0
2026-09-17,35.51,10.48,85.44,9.18,30.9,1
2026-05-28,61.51,21.94,88.36,0.78,24.77,1
2026-09-17,35.51,10.48,85.44,9.18,30.9,1
2026-03-10,63.83,19.01,75.2,8.48,25.43,1
2021-05-15,78.34,42.88,60.15,2.16,29.8,0
2023-12-29,65.12,22.03,79.17,8.63,29.2,1
2023-01-24,40.06,45.68,91.65,5.47,31.5,1
2020-12-17,66.6,39.68,78.97,8.76,30.2,1
2024-09-27,60.2,26.69,89.62,3.08,25.99,1
2021-06-09,17.31,27.29,63.46,2.15,30.59,0
2024-01-23,13.79,34.47,80.85,4.02,25.29,0
2022-08-21,41.41,40.22,74.76,5.0,24.02,0
2023-05-12,10.68,19.58,89.27,4.21,26.56,0
2024-12-24,66.88,42.73,76.21,8.03,33.65,1
2026-05-03,30.46,48.71,88.97,6.15,29.7,1
2023-06-22,9.3,60.0,94.74,0.38,30.6,1
2021-03-12,54.51,23.44,96.11,8.27,27.93,1
2022-11-22,37.14,41.68,60.41,3.06,26.45,0
2024-10-31,79.8,34.36,72.24,9.26,27.06,1
2020-04-25,23.62,43.89,58.19,4.6,35.42,0
2024-06-23,8.71,14.67,91.64,8.89,16.81,1
2021-11-21,93.8,24.86,72.0,8.25,35.35,1
2024-06-25,56.38,23.88,83.6,5.5,24.01,0
2024-02-12,30.15,25.75,60.57,5.75,31.6,0
2024-02-09,60.57,10.34,85.1,5.94,35.39,1
2023-01-03,38.35,33.28,83.79,7.37,32.31,0
2026-07-02,12.58,34.22,59.13,0.0,32.04,0
2024-07-10,29.07,39.64,63.76,0.0,18.8,0
2021-10-26,62.53,35.56,89.93,7.41,24.67,1
2024-02-15,69.14,15.73,87.66,3.63,28.47,1
2020-02-24,26.93,29.94,67.21,1.47,23.29,0
2026-05-31,65.02,34.09,59.94,8.65,22.74,1
2024-09-23,72.71,7.95,87.69,6.7,21.98,1
2025-06-03,83.67,17.77,78.05,8.04,21.86,1
2026-09-17,35.51,10.48,85.44,9.18,30.9,1
2026-07-04,41.25,26.33,81.24,4.34,23.59,0
2026-05-22,3.81,48.46,89.14,2.05,28.99,1
2020-08-29,5.51,37.97,66.66,0.56,24.0,0
2024-01-14,67.47,20.58,93.95,7.57,30.15,1
2021-09-17,24.29,24.71,79.83,1.67,29.3,0
2022-09-23,13.2,21.44,43.61,4.72,28.34,0
2025-06-19,12.73,41.2,75.47,2.62,18.54,0
2021-07-06,78.61,20.06,86.89,9.27,27.78,1
2021-07-12,1.31,29.83,64.61,2.09,35.07,0
2020-10-30,42.56,18.14,82.24,3.22,27.65,0
2021-08-17,69.55,27.42,66.97,6.79,22.68,0
2024-07-19,32.05,42.79,76.47,1.19,31.22,0
2024-06-23,8.71,14.67,91.64,8.89,16.81,1
2020-03-15,63.19,46.35,76.03,5.64,25.67,1
2020-09-16,32.79,23.49,85.47,8.01,20.09,1
2023-12-29,65.12,22.03,79.17,8.63,29.2,1
2026-05-28,61.51,21.94,88.36,0.78,24.77,1
2023-01-24,40.06,45.68,91.65,5.47,31.5,1
2020-05-18,40.6,23.58,93.98,4.58,23.53,0
2021-11-27,6.75,59.36,91.37,6.68,31.27,1
2021-06-05,30.15,28.13,91.8,5.47,33.04,0
2023-10-12,86.84,46.71,68.73,4.65,36.1,1
2023-10-26,136.63,36.44,69.02,10.12,21.46,1
2021-12-03,10.05,48.08,90.43,6.11,18.96,1
2020-05-06,36.36,37.03,71.15,5.57,30.59,0
2026-10-10,5.09,37.15,76.76,3.45,31.86,0
2023-09-15,19.07,43.92,78.06,2.92,33.65,0
2023-01-02,22.18,29.02,83.85,3.87,15.09,0
2022-12-16,30.24,38.99,86.07,6.87,24.51,0
2023-01-13,36.39,50.85,65.91,3.14,25.02,0
2024-02-15,69.14,15.73,87.66,3.63,28.47,1
2024-05-08,33.78,21.63,82.27,4.53,21.04,0
2022-05-25,20.87,30.91,63.26,4.45,30.02,0
2021-12-30,111.02,22.61,98.18,5.7,21.1,1
2025-10-26,13.62,33.38,80.76,7.63,25.21,0
2024-09-23,72.71,7.95,87.69,6.7,21.98,1
2020-05-20,14.39,21.44,85.85,2.44,27.26,0
2022-08-02,24.53,26.27,68.45,3.5,26.24,0
2024-01-14,67.47,20.58,93.95,7.57,30.15,1
2022-12-10,90.51,27.86,70.19,4.1,26.29,0
2026-01-14,2.54,23.2,73.67,3.67,29.46,0
2022-04-19,4.06,26.96,83.1,5.16,28.67,0
2026-04-01,72.74,34.42,94.24,3.84,26.32,1
2024-01-01,63.21,26.06,67.77,6.87,23.43,0
2020-06-04,34.62,23.01,65.69,3.14,20.16,0
